wave,spec,std
1020,0.140520458,0.037997514
1021,0.140454196,0.038008223
1022,0.140423622,0.038014886
1023,0.140482582,0.03800139
1024,0.140607485,0.037968607
1025,0.140734482,0.03795258
1026,0.140791283,0.037948439
1027,0.140835632,0.037938851
1028,0.14087411,0.037944525
1029,0.140884038,0.037953858
1030,0.140889962,0.037965459
1031,0.140916703,0.037975947
1032,0.140997263,0.037978838
1033,0.141105294,0.037971209
1034,0.141210254,0.037959209
1035,0.141287773,0.037956168
1036,0.141307199,0.037964604
1037,0.141289272,0.037979436
1038,0.141276205,0.038007254
1039,0.141295336,0.038027468
1040,0.141334225,0.038012061
1041,0.141393717,0.037985544
1042,0.141487677,0.038000583
1043,0.141552147,0.038039648
1044,0.141610409,0.038058156
1045,0.141660268,0.038073474
1046,0.141670783,0.03808031
1047,0.141673594,0.038060639
1048,0.141690062,0.038047711
1049,0.141742331,0.038035256
1050,0.141826577,0.038019854
1051,0.141914676,0.038013731
1052,0.141988771,0.038017054
1053,0.142042623,0.038024185
1054,0.142080196,0.038026298
1055,0.142116684,0.038029214
1056,0.142156472,0.038047684
1057,0.14218881,0.03805737
1058,0.142250855,0.038039945
1059,0.142356849,0.038023327
1060,0.14242406,0.038004326
1061,0.142435771,0.038001377
1062,0.142456641,0.038040687
1063,0.142480754,0.038068364
1064,0.142519654,0.038071229
1065,0.142548933,0.038070123
1066,0.142574062,0.03806285
1067,0.14264204,0.038057188
1068,0.142712483,0.038060638
1069,0.142751631,0.038065213
1070,0.142780967,0.038066269
1071,0.142817081,0.038074818
1072,0.142861072,0.038095487
1073,0.142906317,0.038115873
1074,0.142947033,0.038129331
1075,0.143004176,0.038139883
1076,0.143086923,0.038141361
1077,0.143164527,0.038141295
1078,0.14323919,0.038166533
1079,0.143282114,0.038193175
1080,0.143293368,0.038197954
1081,0.143345061,0.03818422
1082,0.143410938,0.038165994
1083,0.143490491,0.038173128
1084,0.143581063,0.038188466
1085,0.143650931,0.038195636
1086,0.143712884,0.038196205
1087,0.14375477,0.038205568
1088,0.14377344,0.038224799
1089,0.143816822,0.038238539
1090,0.14387523,0.038254225
1091,0.143927995,0.038270165
1092,0.143998026,0.038273083
1093,0.14406967,0.038266376
1094,0.144126109,0.038254413
1095,0.144208122,0.038253279
1096,0.144287818,0.038277873
1097,0.144337186,0.03829219
1098,0.1443936,0.038298975
1099,0.144419814,0.038310003
1100,0.144449267,0.038305014
1101,0.144508047,0.038306628
1102,0.144551957,0.03831389
1103,0.144615054,0.038329777
1104,0.144657519,0.038354404
1105,0.144667855,0.038355742
1106,0.144703603,0.038351829
1107,0.144745497,0.038356878
1108,0.14479722,0.038360664
1109,0.14490847,0.038370651
1110,0.145006481,0.038385346
1111,0.145042352,0.038386935
1112,0.145083789,0.038380627
1113,0.145119209,0.038378685
1114,0.145136501,0.038377083
1115,0.145189601,0.038372872
1116,0.14522691,0.038384474
1117,0.14526406,0.038418311
1118,0.145373556,0.038444746
1119,0.145438893,0.038476843
1120,0.145503624,0.038549858
1121,0.145543891,0.038633651
1122,0.14550279,0.038691804
1123,0.145466723,0.038708012
1124,0.145365581,0.038676472
1125,0.14535576,0.038666283
1126,0.145530624,0.038679289
1127,0.145658365,0.038700402
1128,0.145777859,0.038653996
1129,0.145873135,0.038586114
1130,0.145839273,0.038583497
1131,0.145828861,0.038627074
1132,0.145926022,0.03869629
1133,0.146028117,0.038737983
1134,0.146204913,0.038712513
1135,0.146413657,0.038690671
1136,0.146516072,0.038725136
1137,0.146595035,0.038779093
1138,0.146652695,0.038783761
1139,0.146648373,0.038750925
1140,0.146680972,0.038780844
1141,0.146696244,0.038801692
1142,0.146742823,0.038759609
1143,0.146856436,0.038757469
1144,0.146907707,0.038832367
1145,0.14693595,0.038935174
1146,0.146975278,0.038971687
1147,0.147051551,0.038959558
1148,0.147145038,0.038965235
1149,0.147176787,0.03896217
1150,0.147216804,0.038965653
1151,0.147339079,0.038979692
1152,0.147450568,0.038985295
1153,0.147533947,0.038973311
1154,0.14761007,0.038966172
1155,0.147660746,0.038990373
1156,0.147704676,0.039021882
1157,0.147775658,0.03904017
1158,0.14783813,0.039051825
1159,0.147944652,0.039081826
1160,0.148062666,0.039111202
1161,0.148136343,0.039135913
